,0
Recovered,1273440.0
Last_Update,2021-05-22 04:20:45
Recovered,1279849.0
Last_Update,2021-05-23 04:20:51
Recovered,1283944.0
Last_Update,2021-05-24 04:20:53
Recovered,1287785.0
Last_Update,2021-05-25 04:21:08
Recovered,1292891.0
Last_Update,2021-05-26 04:20:35
Recovered,1300280.0
Last_Update,2021-05-27 04:20:59
Recovered,1305046.0
Last_Update,2021-05-28 04:20:36
Recovered,1313603.0
Last_Update,2021-05-29 04:20:41
Recovered,1318719.0
Last_Update,2021-05-30 04:20:55
Recovered,1322602.0
Last_Update,2021-05-31 03:08:59
Recovered,1325932.0
Last_Update,2021-06-01 04:23:09
Recovered,1331521.0
Last_Update,2021-06-02 04:24:34
Recovered,1335777.0
Last_Update,2021-06-03 04:23:32
Recovered,1339517.0
Last_Update,2021-06-04 04:23:37
Recovered,1342878.0
Last_Update,2021-06-05 04:23:03
Recovered,1345844.0
Last_Update,2021-06-06 04:24:03
Recovered,1348019.0
Last_Update,2021-06-07 04:22:51
Recovered,1350278.0
Last_Update,2021-06-08 04:22:35
Recovered,1353705.0
Last_Update,2021-06-09 04:23:31
Recovered,1356098.0
Last_Update,2021-06-10 04:23:17
Recovered,1358565.0
Last_Update,2021-06-11 04:23:20
Recovered,1361024.0
Last_Update,2021-06-12 04:22:22
Recovered,1363175.0
Last_Update,2021-06-13 04:22:44
Recovered,1364946.0
Last_Update,2021-06-14 04:22:46
Recovered,1366469.0
Last_Update,2021-06-15 04:22:22
Recovered,1368941.0
Last_Update,2021-06-16 04:22:32
Recovered,1370779.0
Last_Update,2021-06-17 04:22:36
Recovered,1372542.0
Last_Update,2021-06-18 04:22:16
Recovered,1374236.0
Last_Update,2021-06-19 04:22:33
Recovered,1375709.0
Last_Update,2021-06-20 04:21:48
Recovered,1376908.0
Last_Update,2021-06-21 04:21:41
Recovered,1377881.0
Last_Update,2021-06-22 04:21:34
Recovered,1379852.0
Last_Update,2021-06-23 04:21:46
Recovered,1381123.0
Last_Update,2021-06-24 04:21:55
Recovered,1382406.0
Last_Update,2021-06-25 04:21:33
Recovered,1383379.0
Last_Update,2021-06-26 04:21:43
Recovered,1384222.0
Last_Update,2021-06-27 04:21:39
Recovered,1384925.0
Last_Update,2021-06-28 04:21:29
Recovered,1385414.0
Last_Update,2021-06-29 04:21:28
Recovered,1387528.0
Last_Update,2021-06-30 04:21:41
Recovered,1388529.0
Last_Update,2021-07-01 04:21:19
Recovered,1389487.0
Last_Update,2021-07-02 04:21:47
Recovered,1389557.0
Last_Update,2021-07-03 04:21:37
Recovered,1391197.0
Last_Update,2021-07-04 04:21:38
Recovered,1391557.0
Last_Update,2021-07-05 04:21:28
Recovered,1391882.0
Last_Update,2021-07-06 04:21:32
Recovered,1393150.0
Last_Update,2021-07-07 04:21:20
Recovered,1393753.0
Last_Update,2021-07-08 04:21:26
Recovered,1394356.0
Last_Update,2021-07-09 04:21:21
Recovered,1394861.0
Last_Update,2021-07-10 04:21:25
Recovered,1395702.0
Last_Update,2021-07-11 04:21:43
Recovered,1395951.0
Last_Update,2021-07-12 04:21:34
Recovered,1396217.0
